Date;Joueur;Scores;Sets joues;Sets gagnes;Sets perdus;Developpement;Points
15/09/2021 22:00;Marin;0;2;0;2;40;960
15/09/2021 22:00;Colas;2;2;2;0;40;1040
16/09/2021 19:54;LL;1;4;1;3;40;973
16/09/2021 19:54;Colas;3;6;5;1;40;1067
17/09/2021 17:49;KRa;0;2;0;2;40;971
17/09/2021 17:49;Colas;2;8;7;1;40;1096
18/09/2021 15:44;Marin;2;5;2;3;40;982
18/09/2021 15:44;LL;1;7;2;5;40;951
19/09/2021 13:38;LL;3;12;5;7;40;982
19/09/2021 13:38;Marin;2;10;4;6;40;951
20/09/2021 11:33;LL;3;16;8;8;40;1012
20/09/2021 11:33;Marin;1;14;5;9;40;921
21/09/2021 09:28;Sutter;2;5;2;3;40;980
21/09/2021 09:28;Gessien;3;5;3;2;40;1020
22/09/2021 07:23;KRa;2;4;2;2;40;1018
22/09/2021 07:23;Gessien;0;7;3;4;40;973
23/09/2021 05:17;Mateos;3;3;3;0;40;1055
23/09/2021 05:17;Sutter;0;8;2;6;40;925
24/09/2021 03:12;KRa;3;7;5;2;40;1086
24/09/2021 03:12;Mateos;0;6;3;3;40;987
25/09/2021 01:07;KRa;3;10;8;2;40;1124
25/09/2021 01:07;Mateos;0;9;3;6;40;949
25/09/2021 23:01;KRa;2;12;10;2;40;1147
25/09/2021 23:01;LL;0;18;8;10;40;989
26/09/2021 20:56;KRa;2;14;12;2;40;1158
26/09/2021 20:56;Marin;0;16;5;11;40;910
27/09/2021 18:51;KRa;3;17;15;2;40;1178
27/09/2021 18:51;Mateos;0;12;3;9;40;929
28/09/2021 16:46;KRa;3;20;18;2;40;1193
28/09/2021 16:46;Mateos;0;15;3;12;40;914
29/09/2021 14:40;KRa;3;24;21;3;40;1170
29/09/2021 14:40;Mateos;1;19;4;15;40;937
30/09/2021 12:35;Colas;3;12;10;2;40;1100
30/09/2021 12:35;Gessien;1;11;4;7;40;969
01/10/2021 10:30;KRa;3;27;24;3;40;1195
01/10/2021 10:30;PLN;0;3;0;3;40;975
02/10/2021 08:24;KRa;3;30;27;3;10;1213
02/10/2021 08:24;PLN;0;6;0;6;40;957
03/10/2021 06:19;Marin;2;21;7;14;40;912
03/10/2021 06:19;Gessien;3;16;7;9;40;967
04/10/2021 04:14;Marin;2;26;9;17;40;910
04/10/2021 04:14;PLN;3;11;3;8;40;959
05/10/2021 02:09;Colas;1;14;11;3;40;1082
05/10/2021 02:09;Gessien;1;18;8;10;40;985
06/10/2021 00:03;Colas;1;17;12;5;40;1028
06/10/2021 00:03;Marin;2;29;11;18;40;964
06/10/2021 21:58;Colas;2;19;14;5;40;1062
06/10/2021 21:58;LL;0;20;8;12;40;955
07/10/2021 19:53;Colas;2;21;16;5;40;1082
07/10/2021 19:53;Sutter;0;10;2;8;40;905
08/10/2021 17:48;Gessien;2;20;10;10;40;1020
08/10/2021 17:48;LL;0;22;8;14;40;920
09/10/2021 15:42;Gessien;1;22;11;11;40;1004
09/10/2021 15:42;Sutter;1;12;3;9;40;921
10/10/2021 13:37;Gessien;1;23;12;11;40;1020
10/10/2021 13:37;Marin;0;30;11;19;20;948
11/10/2021 11:32;Marin;1;32;12;20;20;946
11/10/2021 11:32;LL;1;24;9;15;40;924
12/10/2021 09:26;Sutter;1;13;4;9;40;941
12/10/2021 09:26;LL;0;25;9;16;40;904
13/10/2021 07:21;Marin;2;35;14;21;20;955
13/10/2021 07:21;Sutter;1;16;5;11;40;923
